schema_name,schema_version,experiment_id,component,condition,metric,value,unit,evaluation_label,inference_label,privacy_controls_active,notes
gunnchos.gate4_result_record,1.0.0,gate4-20260722T220015Z,ablation,remove_edge_io_observations,service_continuity_delta,0.1493,delta_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run ablation record is an infrastructure check, not a physical measurement."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T220015Z,ablation,remove_digital_twin_context,service_continuity_delta,0.2327,delta_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run ablation record is an infrastructure check, not a physical measurement."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T220015Z,ablation,remove_service_continuity_objective,service_continuity_delta,0.1927,delta_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run ablation record is an infrastructure check, not a physical measurement."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T220015Z,ablation,remove_fairness_constraint,service_continuity_delta,0.2227,delta_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run ablation record is an infrastructure check, not a physical measurement."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T220015Z,ablation,remove_energy_constraint,service_continuity_delta,0.1727,delta_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run ablation record is an infrastructure check, not a physical measurement."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T220015Z,ablation,remove_local_edge_availability,service_continuity_delta,0.0827,delta_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run ablation record is an infrastructure check, not a physical measurement."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T220015Z,ablation,remove_uncertainty_inputs,service_continuity_delta,-0.014,delta_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run ablation record is an infrastructure check, not a physical measurement."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T220015Z,ablation,remove_external_source_validated_context,service_continuity_delta,-0.0273,delta_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run ablation record is an infrastructure check, not a physical measurement."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T220015Z,ablation,remove_ntn_option,service_continuity_delta,-0.0373,delta_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run ablation record is an infrastructure check, not a physical measurement."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T220015Z,ablation,remove_privacy_constraint_simulated_decision_constraint_only,service_continuity_delta,0.0827,delta_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,Privacy ablation toggles a simulated decision constraint only; actual privacy controls remain active.
